,addr,amount
141,terra1qgaejaulft5madhv8w8u6e34e6g7e6zypth2yw,7833332554
142,terra1udhjmku7ca680mrjpwa7ykcsqaqxn6r8rqcqtv,7828825405
143,terra1prr3nsy4m5ra53ger250uajfpl96qf6zmtf6l6,7802425755
144,terra14uapeeadtcx6nwjtyrgwt3wfptmn5eck68x4dd,7718100772
145,terra16se22xlfp3zz53ateqqtja3ut2h9r9z9vwf0nk,7713982746
146,terra1evgzaxqdmdqdyr50q7zq8l4kz2vru4u5jhadmt,7697632191
147,terra1vv9588pdukhmk3p7g9ppkgx4wqrkc7pxy5rats,7671067242
148,terra1mjx6n3hjhz3v4zgzuccdx3aqcn5dhk4hr89758,7591892593
149,terra13etweh5rm0rmjl2q88xd46ha2rkg8vh587fuku,7485966183
150,terra1jsmue5kqa7sqmtyy9crrwzu7j4f0pyznu86jfq,7482333159
151,terra15yp465lhskp9ldun5nq2j7ru9fnhvwjhu3kl4g,7436117497
152,terra12dauu4xelx8p8002cjuv8pdrvtfp47hkszsp2f,7355357015
153,terra1dvyksx6slrm8sey484297rg800ky7z7ra4u935,7314929991
154,terra10dppf3ye5awuh7s87gre0kgjzxrh52w34fk7c9,7281707490
155,terra1r92jwnae3j0avspn749e659z3s7cza5csry3w5,7264817469
156,terra1xnlq2mzjheugyjcx0mssh5wstgppzllfflkj2d,7235946891
157,terra1jusga8740pgzcuf2jresxwpyd2k7g20kcew77q,7200413848
158,terra1tmh66l323uwvj4aw62dkjp2sgxucmxyjgnxhkn,7176621429
159,terra17t4qpdakfprwgkqrntgvjp34qp6hjdy36c6ugk,7044545609
160,terra1rcr28tl3dp786dy5wkn7mexw0g2pnm3vj0j9x6,7015390862
161,terra1h9fkqtgkgmpxjzwvnquq4j9d4uhdd0hf2z696n,6976329293
162,terra16ztvmhrakt572026zmmxar60frvpf8q3zg3zhg,6968833526
163,terra12chw9xgz3wg6q50vtqru932n095pyt4lwxg97c,6961776707
164,terra1nvje73wj6g7jv5sdcxqfvx59js6fx4w29lpm33,6934167608
