,amount_signed
1095,4435.465676
1096,0.02
1097,27.0
1098,1e-06
1099,1e-05
1100,500.0
1101,5.0
1102,16.0
1103,5.0
1104,0.02
1105,1e-05
1106,9.5
1107,300.0
1108,8500.0
1109,30.0
1110,-60.28914
1111,0.001
1112,0.0001
1113,4.0
1114,21.303
1115,25.0
1116,-0.42173099999999997
1117,-0.426645
1118,-0.429577
1119,0.0001
1120,0.001
1121,0.1
1122,0.03
1123,1e-06
1124,0.0001
1125,1e-05
1126,1e-06
1127,300.0
1128,0.01
1129,-36.212578
1130,250.0
1131,0.0001
1132,0.0001
1133,-264.554869
1134,1e-06
1135,30000.0
1136,22.0
1137,40.0
1138,250.0
1139,400.0
1140,0.01
1141,0.001
1142,0.02
1143,0.01
1144,23.0
1145,60.0
1146,480.0
1147,0.01
1148,20000.0
1149,0.0001
1150,50.0
1151,200.0
1152,-9962.19115
1153,1e-05
1154,0.06
1155,-4004.089655
1156,-51.695307
1157,-1.073573
1158,-1435.616517
1159,-0.9344659999999999
1160,-0.921519
1161,300.0
1162,0.2
1163,0.01
1164,0.0001
1165,0.01
1166,-0.448047
1167,-0.43333000000000005
1168,-698.955706
1169,1e-05
1170,50.0
1171,5.0
1172,-0.451659
1173,5000.0
1174,0.01
1175,20.0
1176,0.4
1177,150.0
1178,20.0
1179,0.0001
1180,-0.937106
1181,-0.925276
1182,-647.768524
1183,0.05
1184,0.11
1185,500.0
1186,10.0
1187,5.0
1188,500.0
1189,2020.0
1190,-2141.389562
1191,0.01
1192,0.05
1193,0.0001
1194,1.0
1195,200.0
1196,1.0
1197,0.001
1198,1065.0
1199,-412.161332
1200,-1963.537798
1201,-0.428363
1202,-0.969436
1203,-2.032981
1204,-0.432087
1205,0.01
1206,0.1
1207,459.581186
1208,0.0015
1209,0.1
1210,0.0001
1211,40.0
1212,0.01
1213,-0.968675
1214,-0.429036
1215,50.0
1216,10000.0
1217,100.0
1218,0.02
1219,345.055694
1220,100.0
1221,0.1
1222,0.001
1223,0.02
1224,1.0
1225,0.1
1226,0.0001
1227,50.0
1228,2.0
1229,0.011
1230,4500.0
1231,16.856356
1232,50.0
1233,-9.669922
1234,10.0
1235,5e-05
1236,50.0
1237,-579.377746
1238,-0.926012
1239,1e-05
1240,0.1
1241,0.0001
1242,1e-06
1243,0.5
1244,0.0001
1245,0.1
1246,0.001
1247,-0.421996
1248,0.001
1249,20.0
1250,500.0
1251,0.05
1252,-0.947156
1253,0.01
1254,0.0001
1255,1e-05
1256,20000.0
1257,0.0001
1258,-1.984195
1259,250.0
1260,-30.444645
1261,-0.9605
1262,0.001
1263,-2.418002
1264,-26760.454636
1265,50.0
1266,3000.0
1267,-0.424427
1268,0.1
1269,4.0
1270,50.0
1271,10.0
1272,1000.0
1273,12.0
1274,-10.732439
1275,0.01
1276,0.01
1277,0.01
1278,1e-05
1279,150.0
1280,70.0
1281,1545.0
1282,4e-06
1283,5.0
1284,0.05
1285,0.001
1286,0.02
1287,0.01
1288,0.01
1289,0.04
1290,-0.9393509999999999
1291,-2.030597
1292,0.1
1293,0.001
1294,0.01
1295,0.0001
1296,-7796.862899
1297,-6.346258
1298,250.0
1299,0.4
1300,0.01
1301,0.001
1302,0.0001
1303,0.012
1304,0.0001
1305,0.01
1306,0.0001
1307,0.1
1308,1e-05
1309,0.034
1310,1e-06
1311,-0.926659
1312,1e-05
1313,100.0
